Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Giants  (29976304),Giants ,29976304,FLEX,4000,SEA@NYG 10/02/2023 08:15PM ET,NYG,-0.33
TE,Noah Fant (29976305),Noah Fant,29976305,FLEX,3600,SEA@NYG 10/02/2023 08:15PM ET,SEA,5.9
RB,Chris Myarick (29976357),Chris Myarick,29976357,CPT,3600,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
RB,Zach Charbonnet (29976306),Zach Charbonnet,29976306,FLEX,3400,SEA@NYG 10/02/2023 08:15PM ET,SEA,3.87
WR,Wan'Dale Robinson (29976307),Wan'Dale Robinson,29976307,FLEX,3000,SEA@NYG 10/02/2023 08:15PM ET,NYG,6.1
WR,Jalin Hyatt (29976358),Jalin Hyatt,29976358,CPT,3000,SEA@NYG 10/02/2023 08:15PM ET,NYG,3.63
WR,Parris Campbell (29976308),Parris Campbell,29976308,FLEX,2800,SEA@NYG 10/02/2023 08:15PM ET,NYG,5.23
RB,Chris Myarick (29976309),Chris Myarick,29976309,FLEX,2400,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
RB,Eric Gray (29976359),Eric Gray,29976359,CPT,2100,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
WR,Jalin Hyatt (29976310),Jalin Hyatt,29976310,FLEX,2000,SEA@NYG 10/02/2023 08:15PM ET,NYG,3.63
RB,Eric Gray (29976311),Eric Gray,29976311,FLEX,1400,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
TE,Colby Parkinson (29976360),Colby Parkinson,29976360,CPT,1200,SEA@NYG 10/02/2023 08:15PM ET,SEA,4.9
TE,Ryan Jones (29976361),Ryan Jones,29976361,CPT,900,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
TE,Colby Parkinson (29976312),Colby Parkinson,29976312,FLEX,800,SEA@NYG 10/02/2023 08:15PM ET,SEA,4.9
TE,Ryan Jones (29976313),Ryan Jones,29976313,FLEX,600,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
TE,Will Dissly (29976362),Will Dissly,29976362,CPT,600,SEA@NYG 10/02/2023 08:15PM ET,SEA,5.1
TE,Will Dissly (29976314),Will Dissly,29976314,FLEX,400,SEA@NYG 10/02/2023 08:15PM ET,SEA,5.1
RB,Kenny McIntosh (29976363),Kenny McIntosh,29976363,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Bryce Ford-Wheaton (29976364),Bryce Ford-Wheaton,29976364,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
WR,Dee Eskridge (29976365),Dee Eskridge,29976365,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
RB,DeeJay Dallas (29976366),DeeJay Dallas,29976366,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,1.53
TE,Tyree Jackson (29976367),Tyree Jackson,29976367,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
WR,Jake Bobo (29976368),Jake Bobo,29976368,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,2.93
RB,Taiwan Jones (29976369),Taiwan Jones,29976369,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
WR,Sterling Shepard (29976370),Sterling Shepard,29976370,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,NYG,0.47
RB,SaRodorick Thompson Jr. (29976371),SaRodorick Thompson Jr.,29976371,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Tyjon Lindsey (29976372),Tyjon Lindsey,29976372,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Cam Sims (29976373),Cam Sims,29976373,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
TE,Tyler Mabry (29976374),Tyler Mabry,29976374,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
TE,Lawrence Cager (29976375),Lawrence Cager,29976375,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,NYG,1.85
TE,Daniel Bellinger (29976376),Daniel Bellinger,29976376,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,NYG,0.97
WR,Dennis Houston (29976377),Dennis Houston,29976377,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
TE,Brady Russell (29976378),Brady Russell,29976378,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Cade Johnson (29976379),Cade Johnson,29976379,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Easop Winston Jr. (29976380),Easop Winston Jr.,29976380,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Dareke Young (29976381),Dareke Young,29976381,CPT,300,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
RB,Kenny McIntosh (29976315),Kenny McIntosh,29976315,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Bryce Ford-Wheaton (29976316),Bryce Ford-Wheaton,29976316,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
WR,Dee Eskridge (29976317),Dee Eskridge,29976317,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
RB,DeeJay Dallas (29976318),DeeJay Dallas,29976318,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,1.53
TE,Tyree Jackson (29976319),Tyree Jackson,29976319,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
WR,Jake Bobo (29976320),Jake Bobo,29976320,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,2.93
RB,Taiwan Jones (29976321),Taiwan Jones,29976321,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
WR,Sterling Shepard (29976322),Sterling Shepard,29976322,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,NYG,0.47
RB,SaRodorick Thompson Jr. (29976323),SaRodorick Thompson Jr.,29976323,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Tyjon Lindsey (29976324),Tyjon Lindsey,29976324,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Cam Sims (29976325),Cam Sims,29976325,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
TE,Tyler Mabry (29976326),Tyler Mabry,29976326,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
TE,Lawrence Cager (29976327),Lawrence Cager,29976327,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,NYG,1.85
TE,Daniel Bellinger (29976328),Daniel Bellinger,29976328,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,NYG,0.97
WR,Dennis Houston (29976329),Dennis Houston,29976329,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,NYG,0
TE,Brady Russell (29976330),Brady Russell,29976330,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Cade Johnson (29976331),Cade Johnson,29976331,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Easop Winston Jr. (29976332),Easop Winston Jr.,29976332,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
WR,Dareke Young (29976333),Dareke Young,29976333,FLEX,200,SEA@NYG 10/02/2023 08:15PM ET,SEA,0
